runId,week,version,workflow,segment,success,latencySec,costUsd,escalated,errorType
RUN-v10-04-17,4,v1.0,Data request,Power user,true,4.25,0.103,false,
RUN-v10-04-18,4,v1.0,Report generation,Internal,true,4.13,0.105,false,
RUN-v10-04-19,4,v1.0,Job matching,Client,true,4.56,0.107,false,
RUN-v10-04-20,4,v1.0,Research,Power user,true,4.24,0.109,false,
RUN-v10-04-21,4,v1.0,Data request,Internal,true,4.57,0.101,false,
RUN-v10-04-22,4,v1.0,Report generation,Client,false,4.45,0.103,false,Retrieval
RUN-v10-04-23,4,v1.0,Job matching,Power user,false,4.88,0.105,false,Retrieval
RUN-v10-04-24,4,v1.0,Research,Internal,false,4.56,0.107,false,Retrieval
RUN-v10-04-25,4,v1.0,Data request,Client,false,4.25,0.109,false,Retrieval
RUN-v10-04-26,4,v1.0,Report generation,Power user,false,4.13,0.101,false,Tool use
RUN-v10-04-27,4,v1.0,Job matching,Internal,false,4.56,0.103,false,Tool use
RUN-v10-04-28,4,v1.0,Research,Client,false,4.24,0.105,false,Tool use
RUN-v10-04-29,4,v1.0,Data request,Power user,false,4.57,0.107,false,Tool use
RUN-v10-04-30,4,v1.0,Report generation,Internal,false,4.45,0.109,false,Tool use
RUN-v10-04-31,4,v1.0,Job matching,Client,false,4.88,0.101,false,Tool use
RUN-v10-04-32,4,v1.0,Research,Power user,false,4.56,0.103,false,Tool use
RUN-v10-04-33,4,v1.0,Data request,Internal,false,4.25,0.105,false,Tool use
RUN-v10-04-34,4,v1.0,Report generation,Client,false,4.13,0.107,false,Tool use
RUN-v10-04-35,4,v1.0,Job matching,Power user,false,4.56,0.109,false,Tool use
RUN-v10-05-01,5,v1.0,Report generation,Power user,true,4.05,0.101,true,
RUN-v10-05-02,5,v1.0,Job matching,Internal,true,4.48,0.103,true,
RUN-v10-05-03,5,v1.0,Research,Client,true,4.16,0.105,true,
RUN-v10-05-04,5,v1.0,Data request,Power user,true,4.49,0.107,true,
RUN-v10-05-05,5,v1.0,Report generation,Internal,true,4.37,0.109,true,
RUN-v10-05-06,5,v1.0,Job matching,Client,true,4.8,0.101,true,
RUN-v10-05-07,5,v1.0,Research,Power user,true,4.48,0.103,true,
RUN-v10-05-08,5,v1.0,Data request,Internal,true,4.81,0.105,true,
RUN-v10-05-09,5,v1.0,Report generation,Client,true,4.05,0.107,true,
RUN-v10-05-10,5,v1.0,Job matching,Power user,true,4.48,0.109,true,
RUN-v10-05-11,5,v1.0,Research,Internal,true,4.16,0.101,false,
RUN-v10-05-12,5,v1.0,Data request,Client,true,4.49,0.103,false,
RUN-v10-05-13,5,v1.0,Report generation,Power user,true,4.37,0.105,false,
RUN-v10-05-14,5,v1.0,Job matching,Internal,true,4.8,0.107,false,
RUN-v10-05-15,5,v1.0,Research,Client,true,4.48,0.109,false,
RUN-v10-05-16,5,v1.0,Data request,Power user,true,4.81,0.101,false,
RUN-v10-05-17,5,v1.0,Report generation,Internal,true,4.05,0.103,false,
RUN-v10-05-18,5,v1.0,Job matching,Client,true,4.48,0.105,false,
RUN-v10-05-19,5,v1.0,Research,Power user,true,4.16,0.107,false,
RUN-v10-05-20,5,v1.0,Data request,Internal,true,4.49,0.109,false,
RUN-v10-05-21,5,v1.0,Report generation,Client,true,4.37,0.101,false,
RUN-v10-05-22,5,v1.0,Job matching,Power user,false,4.8,0.103,false,Tool use
RUN-v10-05-23,5,v1.0,Research,Internal,false,4.48,0.105,false,Tool use
RUN-v10-05-24,5,v1.0,Data request,Client,false,4.81,0.107,false,Tool use
RUN-v10-05-25,5,v1.0,Report generation,Power user,false,4.05,0.109,false,Tool use
RUN-v10-05-26,5,v1.0,Job matching,Internal,false,4.48,0.101,false,Tool use
RUN-v10-05-27,5,v1.0,Research,Client,false,4.16,0.103,false,Tool use
RUN-v10-05-28,5,v1.0,Data request,Power user,false,4.49,0.105,false,Tool use
RUN-v10-05-29,5,v1.0,Report generation,Internal,false,4.37,0.107,false,Tool use
RUN-v10-05-30,5,v1.0,Job matching,Client,false,4.8,0.109,false,Tool use
RUN-v10-05-31,5,v1.0,Research,Power user,false,4.48,0.101,false,Tool use
RUN-v10-05-32,5,v1.0,Data request,Internal,false,4.81,0.103,false,Tool use
RUN-v10-05-33,5,v1.0,Report generation,Client,false,4.05,0.105,false,Tool use
RUN-v10-05-34,5,v1.0,Job matching,Power user,false,4.48,0.107,false,Tool use
RUN-v10-05-35,5,v1.0,Research,Internal,false,4.16,0.109,false,Tool use
RUN-v10-06-01,6,v1.0,Job matching,Internal,true,4.4,0.101,true,
RUN-v10-06-02,6,v1.0,Research,Client,true,4.08,0.103,true,
RUN-v10-06-03,6,v1.0,Data request,Power user,true,4.41,0.105,true,
RUN-v10-06-04,6,v1.0,Report generation,Internal,true,4.29,0.107,true,
RUN-v10-06-05,6,v1.0,Job matching,Client,true,4.72,0.109,true,
RUN-v10-06-06,6,v1.0,Research,Power user,true,4.4,0.101,true,
RUN-v10-06-07,6,v1.0,Data request,Internal,true,4.73,0.103,true,
RUN-v10-06-08,6,v1.0,Report generation,Client,true,4.61,0.105,true,
RUN-v10-06-09,6,v1.0,Job matching,Power user,true,4.4,0.107,true,
RUN-v10-06-10,6,v1.0,Research,Internal,true,4.08,0.109,false,
RUN-v10-06-11,6,v1.0,Data request,Client,true,4.41,0.101,false,
RUN-v10-06-12,6,v1.0,Report generation,Power user,true,4.29,0.103,false,
RUN-v10-06-13,6,v1.0,Job matching,Internal,true,4.72,0.105,false,
RUN-v10-06-14,6,v1.0,Research,Client,true,4.4,0.107,false,
RUN-v10-06-15,6,v1.0,Data request,Power user,true,4.73,0.109,false,
RUN-v10-06-16,6,v1.0,Report generation,Internal,true,4.61,0.101,false,
RUN-v10-06-17,6,v1.0,Job matching,Client,true,4.4,0.103,false,
RUN-v10-06-18,6,v1.0,Research,Power user,true,4.08,0.105,false,
RUN-v10-06-19,6,v1.0,Data request,Internal,true,4.41,0.107,false,
RUN-v10-06-20,6,v1.0,Report generation,Client,true,4.29,0.109,false,
RUN-v10-06-21,6,v1.0,Job matching,Power user,true,4.72,0.101,false,
RUN-v10-06-22,6,v1.0,Research,Internal,true,4.4,0.103,false,
RUN-v10-06-23,6,v1.0,Data request,Client,false,4.73,0.105,false,Tool use
RUN-v10-06-24,6,v1.0,Report generation,Power user,false,4.61,0.107,false,Tool use
RUN-v10-06-25,6,v1.0,Job matching,Internal,false,4.4,0.109,false,Tool use
RUN-v10-06-26,6,v1.0,Research,Client,false,4.08,0.101,false,Tool use
RUN-v10-06-27,6,v1.0,Data request,Power user,false,4.41,0.103,false,Tool use
RUN-v10-06-28,6,v1.0,Report generation,Internal,false,4.29,0.105,false,Tool use
RUN-v10-06-29,6,v1.0,Job matching,Client,false,4.72,0.107,false,Tool use
RUN-v10-06-30,6,v1.0,Research,Power user,false,4.4,0.109,false,Tool use
RUN-v10-06-31,6,v1.0,Data request,Internal,false,4.73,0.101,false,Tool use
RUN-v10-06-32,6,v1.0,Report generation,Client,false,4.61,0.103,false,Tool use
RUN-v10-06-33,6,v1.0,Job matching,Power user,false,4.4,0.105,false,Tool use
RUN-v10-06-34,6,v1.0,Research,Internal,false,4.08,0.107,false,Tool use
RUN-v10-06-35,6,v1.0,Data request,Client,false,4.41,0.109,false,Tool use
RUN-v10-07-01,7,v1.0,Research,Client,true,4,0.101,true,
RUN-v10-07-02,7,v1.0,Data request,Power user,true,4.33,0.103,true,
RUN-v10-07-03,7,v1.0,Report generation,Internal,true,4.21,0.105,true,
RUN-v10-07-04,7,v1.0,Job matching,Client,true,4.64,0.107,true,
RUN-v10-07-05,7,v1.0,Research,Power user,true,4.32,0.109,true,
RUN-v10-07-06,7,v1.0,Data request,Internal,true,4.65,0.101,true,
RUN-v10-07-07,7,v1.0,Report generation,Client,true,4.53,0.103,true,
RUN-v10-07-08,7,v1.0,Job matching,Power user,true,4.96,0.105,true,
RUN-v10-07-09,7,v1.0,Research,Internal,true,4,0.107,true,
RUN-v10-07-10,7,v1.0,Data request,Client,true,4.33,0.109,false,
RUN-v10-07-11,7,v1.0,Report generation,Power user,true,4.21,0.101,false,
RUN-v10-07-12,7,v1.0,Job matching,Internal,true,4.64,0.103,false,
RUN-v10-07-13,7,v1.0,Research,Client,true,4.32,0.105,false,
RUN-v10-07-14,7,v1.0,Data request,Power user,true,4.65,0.107,false,
RUN-v10-07-15,7,v1.0,Report generation,Internal,true,4.53,0.109,false,
RUN-v10-07-16,7,v1.0,Job matching,Client,true,4.96,0.101,false,
RUN-v10-07-17,7,v1.0,Research,Power user,true,4,0.103,false,
RUN-v10-07-18,7,v1.0,Data request,Internal,true,4.33,0.105,false,
RUN-v10-07-19,7,v1.0,Report generation,Client,true,4.21,0.107,false,
RUN-v10-07-20,7,v1.0,Job matching,Power user,true,4.64,0.109,false,
RUN-v10-07-21,7,v1.0,Research,Internal,true,4.32,0.101,false,
RUN-v10-07-22,7,v1.0,Data request,Client,true,4.65,0.103,false,
RUN-v10-07-23,7,v1.0,Report generation,Power user,false,4.53,0.105,false,Formatting
RUN-v10-07-24,7,v1.0,Job matching,Internal,false,4.96,0.107,false,Formatting
RUN-v10-07-25,7,v1.0,Research,Client,false,4,0.109,false,Formatting
RUN-v10-07-26,7,v1.0,Data request,Power user,false,4.33,0.101,false,Formatting
RUN-v10-07-27,7,v1.0,Report generation,Internal,false,4.21,0.103,false,Formatting
RUN-v10-07-28,7,v1.0,Job matching,Client,false,4.64,0.105,false,Formatting
RUN-v10-07-29,7,v1.0,Research,Power user,false,4.32,0.107,false,Formatting
RUN-v10-07-30,7,v1.0,Data request,Internal,false,4.65,0.109,false,Formatting
RUN-v10-07-31,7,v1.0,Report generation,Client,false,4.53,0.101,false,Formatting
RUN-v10-07-32,7,v1.0,Job matching,Power user,false,4.96,0.103,false,Formatting
RUN-v10-07-33,7,v1.0,Research,Internal,false,4,0.105,false,Formatting
RUN-v10-07-34,7,v1.0,Data request,Client,false,4.33,0.107,false,Formatting
RUN-v10-07-35,7,v1.0,Report generation,Power user,false,4.21,0.109,false,Formatting
RUN-v10-08-01,8,v1.0,Data request,Power user,true,4.25,0.101,true,
RUN-v10-08-02,8,v1.0,Report generation,Internal,true,4.13,0.103,true,
RUN-v10-08-03,8,v1.0,Job matching,Client,true,4.56,0.105,true,
RUN-v10-08-04,8,v1.0,Research,Power user,true,4.24,0.107,true,
RUN-v10-08-05,8,v1.0,Data request,Internal,true,4.57,0.109,true,
RUN-v10-08-06,8,v1.0,Report generation,Client,true,4.45,0.101,true,
RUN-v10-08-07,8,v1.0,Job matching,Power user,true,4.88,0.103,true,
RUN-v10-08-08,8,v1.0,Research,Internal,true,4.56,0.105,true,
RUN-v10-08-09,8,v1.0,Data request,Client,true,4.25,0.107,true,
RUN-v10-08-10,8,v1.0,Report generation,Power user,true,4.13,0.109,false,
RUN-v10-08-11,8,v1.0,Job matching,Internal,true,4.56,0.101,false,
RUN-v10-08-12,8,v1.0,Research,Client,true,4.24,0.103,false,
RUN-v10-08-13,8,v1.0,Data request,Power user,true,4.57,0.105,false,
RUN-v10-08-14,8,v1.0,Report generation,Internal,true,4.45,0.107,false,
RUN-v10-08-15,8,v1.0,Job matching,Client,true,4.88,0.109,false,
RUN-v10-08-16,8,v1.0,Research,Power user,true,4.56,0.101,false,
RUN-v10-08-17,8,v1.0,Data request,Internal,true,4.25,0.103,false,
RUN-v10-08-18,8,v1.0,Report generation,Client,true,4.13,0.105,false,
RUN-v10-08-19,8,v1.0,Job matching,Power user,true,4.56,0.107,false,
RUN-v10-08-20,8,v1.0,Research,Internal,true,4.24,0.109,false,
RUN-v10-08-21,8,v1.0,Data request,Client,true,4.57,0.101,false,
RUN-v10-08-22,8,v1.0,Report generation,Power user,true,4.45,0.103,false,
RUN-v10-08-23,8,v1.0,Job matching,Internal,true,4.88,0.105,false,
RUN-v10-08-24,8,v1.0,Research,Client,false,4.56,0.107,false,Formatting
RUN-v10-08-25,8,v1.0,Data request,Power user,false,4.25,0.109,false,Formatting
RUN-v10-08-26,8,v1.0,Report generation,Internal,false,4.13,0.101,false,Formatting
RUN-v10-08-27,8,v1.0,Job matching,Client,false,4.56,0.103,false,Formatting
RUN-v10-08-28,8,v1.0,Research,Power user,false,4.24,0.105,false,Formatting
RUN-v10-08-29,8,v1.0,Data request,Internal,false,4.57,0.107,false,Formatting
RUN-v10-08-30,8,v1.0,Report generation,Client,false,4.45,0.109,false,Formatting
RUN-v10-08-31,8,v1.0,Job matching,Power user,false,4.88,0.101,false,Formatting
RUN-v10-08-32,8,v1.0,Research,Internal,false,4.56,0.103,false,Formatting
RUN-v10-08-33,8,v1.0,Data request,Client,false,4.25,0.105,false,Formatting
RUN-v10-08-34,8,v1.0,Report generation,Power user,false,4.13,0.107,false,Formatting
RUN-v10-08-35,8,v1.0,Job matching,Internal,false,4.56,0.109,false,Formatting
RUN-v10-09-01,9,v1.0,Report generation,Internal,true,4.05,0.101,true,
RUN-v10-09-02,9,v1.0,Job matching,Client,true,4.48,0.103,true,
RUN-v10-09-03,9,v1.0,Research,Power user,true,4.16,0.105,true,
RUN-v10-09-04,9,v1.0,Data request,Internal,true,4.49,0.107,true,
RUN-v10-09-05,9,v1.0,Report generation,Client,true,4.37,0.109,true,
RUN-v10-09-06,9,v1.0,Job matching,Power user,true,4.8,0.101,true,
RUN-v10-09-07,9,v1.0,Research,Internal,true,4.48,0.103,true,
RUN-v10-09-08,9,v1.0,Data request,Client,true,4.81,0.105,true,
RUN-v10-09-09,9,v1.0,Report generation,Power user,true,4.05,0.107,false,
RUN-v10-09-10,9,v1.0,Job matching,Internal,true,4.48,0.109,false,
RUN-v10-09-11,9,v1.0,Research,Client,true,4.16,0.101,false,
RUN-v10-09-12,9,v1.0,Data request,Power user,true,4.49,0.103,false,
RUN-v10-09-13,9,v1.0,Report generation,Internal,true,4.37,0.105,false,
RUN-v10-09-14,9,v1.0,Job matching,Client,true,4.8,0.107,false,
RUN-v10-09-15,9,v1.0,Research,Power user,true,4.48,0.109,false,
RUN-v10-09-16,9,v1.0,Data request,Internal,true,4.81,0.101,false,
RUN-v10-09-17,9,v1.0,Report generation,Client,true,4.05,0.103,false,
RUN-v10-09-18,9,v1.0,Job matching,Power user,true,4.48,0.105,false,
RUN-v10-09-19,9,v1.0,Research,Internal,true,4.16,0.107,false,
RUN-v10-09-20,9,v1.0,Data request,Client,true,4.49,0.109,false,
RUN-v10-09-21,9,v1.0,Report generation,Power user,true,4.37,0.101,false,
RUN-v10-09-22,9,v1.0,Job matching,Internal,true,4.8,0.103,false,
RUN-v10-09-23,9,v1.0,Research,Client,true,4.48,0.105,false,
RUN-v10-09-24,9,v1.0,Data request,Power user,false,4.81,0.107,false,Formatting
RUN-v10-09-25,9,v1.0,Report generation,Internal,false,4.05,0.109,false,Formatting
RUN-v10-09-26,9,v1.0,Job matching,Client,false,4.48,0.101,false,Formatting
RUN-v10-09-27,9,v1.0,Research,Power user,false,4.16,0.103,false,Formatting
RUN-v10-09-28,9,v1.0,Data request,Internal,false,4.49,0.105,false,Formatting
RUN-v10-09-29,9,v1.0,Report generation,Client,false,4.37,0.107,false,Formatting
RUN-v10-09-30,9,v1.0,Job matching,Power user,false,4.8,0.109,false,Hallucination
RUN-v10-09-31,9,v1.0,Research,Internal,false,4.48,0.101,false,Hallucination
RUN-v10-09-32,9,v1.0,Data request,Client,false,4.81,0.103,false,Hallucination
RUN-v10-09-33,9,v1.0,Report generation,Power user,false,4.05,0.105,false,Hallucination
RUN-v10-09-34,9,v1.0,Job matching,Internal,false,4.48,0.107,false,Hallucination
RUN-v10-09-35,9,v1.0,Research,Client,false,4.16,0.109,false,Hallucination
RUN-v10-10-01,10,v1.0,Job matching,Client,true,4.4,0.101,true,
RUN-v10-10-02,10,v1.0,Research,Power user,true,4.08,0.103,true,
RUN-v10-10-03,10,v1.0,Data request,Internal,true,4.41,0.105,true,
RUN-v10-10-04,10,v1.0,Report generation,Client,true,4.29,0.107,true,
RUN-v10-10-05,10,v1.0,Job matching,Power user,true,4.72,0.109,true,
RUN-v10-10-06,10,v1.0,Research,Internal,true,4.4,0.101,true,
RUN-v10-10-07,10,v1.0,Data request,Client,true,4.73,0.103,true,
RUN-v10-10-08,10,v1.0,Report generation,Power user,true,4.61,0.105,true,
RUN-v10-10-09,10,v1.0,Job matching,Internal,true,4.4,0.107,false,
RUN-v10-10-10,10,v1.0,Research,Client,true,4.08,0.109,false,
RUN-v10-10-11,10,v1.0,Data request,Power user,true,4.41,0.101,false,
RUN-v10-10-12,10,v1.0,Report generation,Internal,true,4.29,0.103,false,
RUN-v10-10-13,10,v1.0,Job matching,Client,true,4.72,0.105,false,
RUN-v10-10-14,10,v1.0,Research,Power user,true,4.4,0.107,false,
RUN-v10-10-15,10,v1.0,Data request,Internal,true,4.73,0.109,false,
RUN-v10-10-16,10,v1.0,Report generation,Client,true,4.61,0.101,false,
RUN-v10-10-17,10,v1.0,Job matching,Power user,true,4.4,0.103,false,
RUN-v10-10-18,10,v1.0,Research,Internal,true,4.08,0.105,false,
RUN-v10-10-19,10,v1.0,Data request,Client,true,4.41,0.107,false,
RUN-v10-10-20,10,v1.0,Report generation,Power user,true,4.29,0.109,false,
RUN-v10-10-21,10,v1.0,Job matching,Internal,true,4.72,0.101,false,
RUN-v10-10-22,10,v1.0,Research,Client,true,4.4,0.103,false,
RUN-v10-10-23,10,v1.0,Data request,Power user,true,4.73,0.105,false,
RUN-v10-10-24,10,v1.0,Report generation,Internal,false,4.61,0.107,false,Hallucination
RUN-v10-10-25,10,v1.0,Job matching,Client,false,4.4,0.109,false,Hallucination
RUN-v10-10-26,10,v1.0,Research,Power user,false,4.08,0.101,false,Hallucination
RUN-v10-10-27,10,v1.0,Data request,Internal,false,4.41,0.103,false,Hallucination
RUN-v10-10-28,10,v1.0,Report generation,Client,false,4.29,0.105,false,Hallucination
